symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
0,?,mazda,diesel,sedan,rwd,front,66.1,54.4,ohc,134,72,31,39,18344
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,95,19,24,15580
0,77,toyota,gas,wagon,fwd,front,63.6,59.1,ohc,92,62,31,37,6918
1,122,nissan,gas,sedan,fwd,front,63.8,54.5,ohc,97,69,31,37,7499
0,106,honda,gas,hatchback,fwd,front,65.2,53.3,ohc,110,86,27,33,9095
1,148,dodge,gas,hatchback,fwd,front,63.8,50.6,ohc,90,68,31,38,6229
2,83,subaru,gas,hatchback,fwd,front,63.6,53.7,ohcf,108,73,26,31,7053
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,16900
3,145,dodge,gas,hatchback,fwd,front,66.3,50.2,ohc,156,145,19,24,12964
1,98,chevrolet,gas,hatchback,fwd,front,63.6,52.0,ohc,90,70,38,43,6295
3,197,toyota,gas,hatchback,rwd,front,67.7,52.0,dohc,171,161,20,24,16558
1,128,nissan,diesel,sedan,fwd,front,63.8,54.5,ohc,103,55,45,50,7099
-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,29,34,8948
1,103,nissan,gas,wagon,fwd,front,63.8,53.5,ohc,97,69,31,37,7349
2,?,audi,gas,sedan,fwd,front,66.3,53.1,ohc,136,110,19,25,15250
2,134,toyota,gas,hardtop,rwd,front,65.6,52.0,ohc,146,116,24,30,8449
3,150,mazda,gas,hatchback,rwd,front,65.7,49.6,rotor,70,101,17,23,11845
3,?,porsche,gas,convertible,rwd,rear,65.0,51.6,ohcf,194,207,17,25,37028
2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,37,41,5389
0,102,subaru,gas,sedan,4wd,front,65.4,54.3,ohcf,108,82,24,25,9233
3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,17199
-1,65,toyota,gas,hatchback,fwd,front,66.5,53.9,ohc,122,92,27,32,11248
1,?,mercury,gas,hatchback,rwd,front,68.0,54.8,ohc,140,175,19,24,16503
-1,65,toyota,diesel,sedan,fwd,front,66.5,54.9,ohc,110,73,30,33,10698
2,137,honda,gas,hatchback,fwd,front,63.9,50.8,ohc,92,76,31,38,6855
0,188,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,164,121,21,28,20970
0,110,honda,gas,sedan,fwd,front,64.0,54.5,ohc,92,76,30,34,7295
3,186,porsche,gas,hatchback,rwd,front,68.3,50.2,ohc,151,143,19,27,22018
1,107,honda,gas,sedan,fwd,front,66.0,51.0,ohc,110,100,25,31,10345
0,91,toyota,gas,sedan,fwd,front,64.4,53.0,ohc,98,70,30,37,6938
3,150,saab,gas,hatchback,fwd,front,66.5,56.1,dohc,121,160,19,26,18150
2,83,subaru,gas,hatchback,4wd,front,63.8,55.7,ohcf,108,73,26,31,7603
1,104,mazda,gas,hatchback,fwd,front,64.2,54.1,ohc,91,68,31,38,6095
0,?,peugot,gas,wagon,rwd,front,68.4,56.7,l,120,95,19,24,16695
1,168,toyota,gas,hatchback,rwd,front,64.0,52.6,dohc,98,112,26,29,9538
0,85,honda,gas,sedan,fwd,front,65.2,54.1,ohc,110,101,24,28,12945
3,?,plymouth,gas,hatchback,rwd,front,66.3,50.2,ohc,156,145,19,24,12764
2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,31,38,6669
1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7957
1,148,dodge,gas,sedan,fwd,front,63.8,50.6,ohc,90,68,31,38,7609
2,104,saab,gas,sedan,fwd,front,66.5,56.1,dohc,121,160,19,26,18620
-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,23,28,16845
0,161,peugot,gas,sedan,rwd,front,68.3,56.0,l,134,142,18,24,18150
1,?,alfa-romero,gas,hatchback,rwd,front,65.5,52.4,ohcv,152,154,19,26,16500
2,161,mitsubishi,gas,hatchback,fwd,front,64.4,50.8,ohc,92,68,31,38,6189
2,?,isuzu,gas,hatchback,rwd,front,65.2,51.4,ohc,119,90,24,29,11048
1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,98,68,31,38,7609
3,?,porsche,gas,hardtop,rwd,rear,65.0,51.6,ohcf,194,207,17,25,34028
1,125,mitsubishi,gas,sedan,fwd,front,65.4,51.6,ohc,122,88,25,32,6989
2,83,subaru,gas,hatchback,fwd,front,63.4,53.7,ohcf,97,69,31,36,5118
0,78,honda,gas,wagon,fwd,front,63.9,58.3,ohc,92,76,30,34,7295
0,?,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,17075
1,129,mazda,gas,hatchback,fwd,front,66.5,53.7,ohc,122,84,26,32,10595
1,118,dodge,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,31,38,6377
2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,15510
0,?,volkswagen,diesel,sedan,fwd,front,66.9,55.1,ohc,97,68,33,38,13845
1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,92,76,30,34,6529
0,192,bmw,gas,sedan,rwd,front,64.8,54.3,ohc,108,101,23,29,16925
-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,130,162,17,22,18950
1,168,toyota,gas,sedan,rwd,front,64.0,52.6,ohc,98,70,29,34,8058
1,158,audi,gas,sedan,fwd,front,71.4,55.7,ohc,136,110,19,25,17710
1,148,dodge,gas,sedan,fwd,front,63.8,50.6,ohc,98,102,24,30,8558
3,?,porsche,gas,hardtop,rwd,rear,65.0,51.6,ohcf,194,207,17,25,32528
-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,141,114,24,28,15985
0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,32,37,7126
2,164,audi,gas,sedan,4wd,front,66.4,54.3,ohc,136,115,18,22,17450
1,101,honda,gas,hatchback,fwd,front,64.0,52.6,ohc,79,60,38,42,5399
0,?,peugot,gas,wagon,rwd,front,68.4,58.7,l,120,97,19,24,12440
2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,68,37,42,9495
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,16630
