symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
3,4.804021044733257,alfa-romero,gas,convertible,rwd,front,64.1,3.8877303128591016,dohc,130,111.0,21,27,13495
3,4.804021044733257,alfa-romero,gas,convertible,rwd,front,64.1,3.8877303128591016,dohc,130,111.0,21,27,16500
1,4.804021044733257,alfa-romero,gas,hatchback,rwd,front,65.5,3.9589065913269965,ohcv,152,154.0,19,26,16500
2,5.099866427824199,audi,gas,sedan,fwd,front,66.2,3.9945242269398897,ohc,109,102.0,24,30,13950
2,5.099866427824199,audi,gas,sedan,4wd,front,66.4,3.9945242269398897,ohc,136,115.0,18,22,17450
2,4.804021044733257,audi,gas,sedan,fwd,front,66.3,3.9721769282478934,ohc,136,110.0,19,25,15250
1,5.062595033026967,audi,gas,sedan,fwd,front,71.4,4.019980146933238,ohc,136,110.0,19,25,17710
1,4.804021044733257,audi,gas,wagon,fwd,front,71.4,4.019980146933238,ohc,136,110.0,19,25,18920
1,5.062595033026967,audi,gas,sedan,fwd,front,71.4,4.023564380161053,ohc,131,140.0,17,20,23875
0,4.804021044733257,audi,gas,hatchback,4wd,front,67.9,3.9512437185814275,ohc,131,160.0,16,22,12000
2,5.2574953720277815,bmw,gas,sedan,rwd,front,64.8,3.9945242269398897,ohc,108,101.0,23,29,16430
0,5.2574953720277815,bmw,gas,sedan,rwd,front,64.8,3.9945242269398897,ohc,108,101.0,23,29,16925
0,5.236441962829949,bmw,gas,sedan,rwd,front,64.8,3.9945242269398897,ohc,164,121.0,21,28,20970
0,5.236441962829949,bmw,gas,sedan,rwd,front,64.8,3.9945242269398897,ohc,164,121.0,21,28,21105
1,4.804021044733257,bmw,gas,sedan,rwd,front,66.9,4.019980146933238,ohc,164,121.0,20,25,24565
2,4.795790545596741,chevrolet,gas,hatchback,fwd,front,60.3,3.9740583963475986,l,61,48.0,47,53,5151
1,4.584967478670572,chevrolet,gas,hatchback,fwd,front,63.6,3.9512437185814275,ohc,90,70.0,38,43,6295
0,4.394449154672439,chevrolet,gas,sedan,fwd,front,63.6,3.9512437185814275,ohc,90,70.0,38,43,6575
1,4.770684624465665,dodge,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,90,68.0,37,41,5572
1,4.770684624465665,dodge,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,90,68.0,31,38,6377
1,4.770684624465665,dodge,gas,hatchback,fwd,front,63.8,3.927896354584436,ohc,98,102.0,24,30,7957
1,4.997212273764115,dodge,gas,hatchback,fwd,front,63.8,3.92395157629342,ohc,90,68.0,31,38,6229
1,4.997212273764115,dodge,gas,sedan,fwd,front,63.8,3.92395157629342,ohc,90,68.0,31,38,6692
1,4.997212273764115,dodge,gas,sedan,fwd,front,63.8,3.92395157629342,ohc,90,68.0,31,38,7609
1,4.997212273764115,dodge,gas,sedan,fwd,front,63.8,3.92395157629342,ohc,98,102.0,24,30,8558
-1,4.700480365792417,dodge,gas,wagon,fwd,front,64.6,4.091005660956586,ohc,122,88.0,24,30,8921
3,4.976733742420574,dodge,gas,hatchback,fwd,front,66.3,3.9160150266976834,ohc,156,145.0,19,24,12964
2,4.919980925828125,honda,gas,hatchback,fwd,front,63.9,3.927896354584436,ohc,92,58.0,49,54,6479
2,4.919980925828125,honda,gas,hatchback,fwd,front,63.9,3.927896354584436,ohc,92,76.0,31,38,6855
1,4.61512051684126,honda,gas,hatchback,fwd,front,64.0,3.9627161197436642,ohc,79,60.0,38,42,5399
1,4.61512051684126,honda,gas,hatchback,fwd,front,64.0,3.9627161197436642,ohc,92,76.0,30,34,6529
1,4.61512051684126,honda,gas,hatchback,fwd,front,64.0,3.9627161197436642,ohc,92,76.0,30,34,7129
0,4.700480365792417,honda,gas,sedan,fwd,front,64.0,3.9982007016691985,ohc,92,76.0,30,34,7295
0,4.356708826689592,honda,gas,wagon,fwd,front,63.9,4.065602093356446,ohc,92,76.0,30,34,7295
0,4.663439094112067,honda,gas,hatchback,fwd,front,65.2,3.975936331171799,ohc,110,86.0,27,33,7895
0,4.663439094112067,honda,gas,hatchback,fwd,front,65.2,3.975936331171799,ohc,110,86.0,27,33,9095
0,4.442651256490317,honda,gas,sedan,fwd,front,65.2,3.9908341858524357,ohc,110,86.0,27,33,8845
0,4.442651256490317,honda,gas,sedan,fwd,front,62.5,3.9908341858524357,ohc,110,86.0,27,33,10295
0,4.442651256490317,honda,gas,sedan,fwd,front,65.2,3.9908341858524357,ohc,110,101.0,24,28,12945
